                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.87,                 4.3262,                 1.8049,                0.04738,                0.10215,                 0.0771,                0.05208,                  1.385,                 4.0238,                 1.2916,               0.000119,               0.000119,               0.000119
                      2,                 1.5044,                 2.6494,                 1.5019,                0.09317,                0.29314,                0.21388,                0.14812,                 1.3292,                 3.4385,                 1.2482,             0.00023074,             0.00023074,             0.00023074
                      3,                 1.3717,                 2.0257,                 1.3875,                0.98391,                0.11661,                0.23771,                0.15682,                 1.3366,                 3.2336,                 1.2797,             0.00033023,             0.00033023,             0.00033023
                      4,                 1.2985,                 1.8137,                 1.3293,                0.78683,                0.17794,                0.25256,                0.17195,                 1.4015,                 2.5708,                 1.4091,             0.00040531,             0.00040531,             0.00040531
                      5,                 1.2505,                 1.6736,                 1.3028,                0.82221,                0.26213,                0.32012,                0.21208,                 1.3548,                 1.8202,                 1.2855,             0.00040531,             0.00040531,             0.00040531
                      6,                 1.2187,                  1.553,                 1.2823,                0.82055,                0.29145,                0.33168,                0.21479,                 1.3196,                 1.6054,                 1.2906,             0.00038175,             0.00038175,             0.00038175
                      7,                 1.1977,                 1.4788,                 1.2812,                0.75337,                  0.338,                0.35389,                0.22652,                 1.2568,                 1.2786,                 1.2363,             0.00035819,             0.00035819,             0.00035819
                      8,                 1.1325,                 1.3532,                 1.2269,                0.70552,                0.36425,                0.38499,                 0.2621,                 1.1628,                  1.172,                 1.1476,             0.00033463,             0.00033463,             0.00033463
                      9,                 1.1233,                  1.323,                 1.2184,                0.69187,                0.37964,                0.42081,                0.28877,                 1.1442,                 1.0419,                 1.1405,             0.00031107,             0.00031107,             0.00031107
                     10,                 1.0647,                 1.2587,                 1.1983,                 0.7017,                 0.3863,                0.42263,                0.30252,                  1.125,                 1.0612,                 1.1267,              0.0002875,              0.0002875,              0.0002875
                     11,                0.97696,                 1.1899,                 1.1399,                0.64682,                 0.4192,                0.42653,                0.30847,                 1.0129,                 1.0073,                 1.0825,             0.00026394,             0.00026394,             0.00026394
                     12,                0.94279,                 1.0903,                 1.1239,                0.73674,                0.41752,                0.44843,                0.32978,                0.97583,                0.94672,                 1.0426,             0.00024038,             0.00024038,             0.00024038
                     13,                0.90139,                 1.0172,                 1.0992,                0.60472,                0.44231,                0.44434,                0.32791,                 0.9597,                0.89651,                  1.025,             0.00021682,             0.00021682,             0.00021682
                     14,                0.87456,                0.95353,                  1.081,                0.69807,                0.43542,                0.44774,                0.32813,                0.95513,                0.88928,                  1.023,             0.00019326,             0.00019326,             0.00019326
                     15,                0.84629,                0.91002,                 1.0625,                0.49707,                0.45491,                0.45454,                0.34477,                0.90374,                 0.8087,                0.99749,             0.00016969,             0.00016969,             0.00016969
                     16,                0.81163,                0.86929,                 1.0462,                0.51965,                0.43922,                0.45788,                0.35088,                0.88948,                0.80501,                0.98791,             0.00014613,             0.00014613,             0.00014613
                     17,                 0.8042,                0.84306,                 1.0364,                0.51551,                0.48722,                0.47591,                0.36203,                0.89579,                0.79469,                0.99853,             0.00012257,             0.00012257,             0.00012257
                     18,                 0.7872,                0.81435,                 1.0371,                0.55364,                0.50376,                0.51335,                0.39397,                0.86007,                0.76842,                0.97624,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     19,                0.75771,                0.77805,                 1.0153,                0.64753,                0.48578,                0.49895,                0.38654,                0.83576,                0.74758,                0.96339,             7.5446e-05,             7.5446e-05,             7.5446e-05
                     20,                0.74696,                0.76596,                 1.0102,                 0.5375,                0.52333,                0.49799,                0.38727,                 0.8495,                0.73343,                0.96942,             5.1884e-05,             5.1884e-05,             5.1884e-05
